t=2026-06-01T16:04:01+0530 lvl=info msg="no configuration paths supplied"
t=2026-06-01T16:04:01+0530 lvl=info msg="using configuration at default config path" path=/home/infaira/.config/ngrok/ngrok.yml
t=2026-06-01T16:04:01+0530 lvl=info msg="open config file" path=/home/infaira/.config/ngrok/ngrok.yml err=nil
t=2026-06-01T16:04:01+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-06-01T16:04:01+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-06-01T16:04:02+0530 lvl=info msg="update available" obj=updater
t=2026-06-01T16:04:02+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-06-01T16:04:02+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-06-01T16:14:15+0530 lvl=info msg="join connections" obj=join id=f791764a593d l=127.0.0.1:3000 r=[2a03:2880:21ff:9::]:42964
t=2026-06-01T16:14:18+0530 lvl=info msg="join connections" obj=join id=4294767f4771 l=127.0.0.1:3000 r=[2a03:2880:22ff:49::]:54868
t=2026-06-01T16:14:20+0530 lvl=info msg="join connections" obj=join id=b4d4434176ab l=127.0.0.1:3000 r=[2a03:2880:2ff:73::]:45326
t=2026-06-01T16:14:20+0530 lvl=info msg="join connections" obj=join id=13ff66237831 l=127.0.0.1:3000 r=[2a03:2880:12ff:43::]:61566
t=2026-06-01T16:14:20+0530 lvl=info msg="join connections" obj=join id=cf1332c4ee85 l=127.0.0.1:3000 r=[2a03:2880:12ff:8::]:39030
t=2026-06-01T16:14:22+0530 lvl=info msg="join connections" obj=join id=969112d68aa3 l=127.0.0.1:3000 r=[2a03:2880:2ff:48::]:51788
t=2026-06-01T16:14:23+0530 lvl=info msg="join connections" obj=join id=5774d5cd369e l=127.0.0.1:3000 r=[2a03:2880:10ff:55::]:37046
t=2026-06-01T16:14:24+0530 lvl=info msg="join connections" obj=join id=b40b2e250168 l=127.0.0.1:3000 r=[2a03:2880:21ff:51::]:49144
t=2026-06-01T16:14:24+0530 lvl=info msg="join connections" obj=join id=8ab3ba3a3b3a l=127.0.0.1:3000 r=[2a03:2880:12ff:2::]:43952
t=2026-06-01T16:14:25+0530 lvl=info msg="join connections" obj=join id=5d2be0a02a2f l=127.0.0.1:3000 r=[2a03:2880:21ff:72::]:35246
t=2026-06-01T16:14:27+0530 lvl=info msg="join connections" obj=join id=da870d1718f4 l=127.0.0.1:3000 r=[2a03:2880:10ff:4f::]:64500
t=2026-06-01T16:14:28+0530 lvl=info msg="join connections" obj=join id=f52392b2beb1 l=127.0.0.1:3000 r=[2a03:2880:22ff:5::]:43896
t=2026-06-01T16:14:28+0530 lvl=info msg="join connections" obj=join id=79b30cb114b4 l=127.0.0.1:3000 r=[2a03:2880:10ff:3::]:56372
t=2026-06-01T16:14:29+0530 lvl=info msg="join connections" obj=join id=eb1b7764c48d l=127.0.0.1:3000 r=[2a03:2880:10ff:59::]:39460
t=2026-06-01T16:14:32+0530 lvl=info msg="join connections" obj=join id=271c0107a568 l=127.0.0.1:3000 r=[2a03:2880:10ff:70::]:51138
t=2026-06-01T16:14:32+0530 lvl=info msg="join connections" obj=join id=c656bfb5e787 l=127.0.0.1:3000 r=[2a03:2880:21ff:4a::]:64394
t=2026-06-01T16:14:32+0530 lvl=info msg="join connections" obj=join id=04d622ef2229 l=127.0.0.1:3000 r=[2a03:2880:12ff:8::]:50854
t=2026-06-01T16:14:54+0530 lvl=info msg="join connections" obj=join id=6fac1a5f4a6e l=127.0.0.1:3000 r=[2a03:2880:21ff:72::]:64066
t=2026-06-01T16:14:54+0530 lvl=info msg="join connections" obj=join id=509f37ac6de4 l=127.0.0.1:3000 r=[2a03:2880:2ff:9::]:39512
t=2026-06-01T16:14:54+0530 lvl=info msg="join connections" obj=join id=66ef0756a439 l=127.0.0.1:3000 r=[2a03:2880:10ff:4::]:50136
t=2026-06-01T16:15:00+0530 lvl=info msg="join connections" obj=join id=af08b87ad18f l=127.0.0.1:3000 r=52.15.183.38:36374
t=2026-06-01T16:15:00+0530 lvl=info msg="join connections" obj=join id=a5c64c24b7f0 l=127.0.0.1:3000 r=52.15.183.38:63740
t=2026-06-01T16:15:00+0530 lvl=info msg="join connections" obj=join id=96d410bfc040 l=127.0.0.1:3000 r=52.15.183.38:18106
t=2026-06-01T16:15:00+0530 lvl=info msg="join connections" obj=join id=bd092603b70b l=127.0.0.1:3000 r=52.15.183.38:3148
t=2026-06-01T16:15:03+0530 lvl=info msg="join connections" obj=join id=511c672300db l=127.0.0.1:3000 r=52.15.183.38:45257
t=2026-06-01T16:15:03+0530 lvl=info msg="join connections" obj=join id=6c28eb6a827b l=127.0.0.1:3000 r=52.15.183.38:44036
t=2026-06-01T16:15:04+0530 lvl=info msg="join connections" obj=join id=4214037ef7dd l=127.0.0.1:3000 r=3.18.12.63:26860
t=2026-06-01T16:15:04+0530 lvl=info msg="join connections" obj=join id=2a58bba450f7 l=127.0.0.1:3000 r=3.18.12.63:5852
t=2026-06-01T16:15:04+0530 lvl=info msg="join connections" obj=join id=798d01b5b0da l=127.0.0.1:3000 r=3.18.12.63:18834
t=2026-06-01T16:15:05+0530 lvl=info msg="join connections" obj=join id=36aae82a3e94 l=127.0.0.1:3000 r=3.130.192.231:59380
t=2026-06-01T16:15:05+0530 lvl=info msg="join connections" obj=join id=94422f7897f8 l=127.0.0.1:3000 r=52.15.183.38:3972
t=2026-06-01T16:15:05+0530 lvl=info msg="join connections" obj=join id=2731b3dd2f35 l=127.0.0.1:3000 r=3.18.12.63:42917
